"name","namespace","revision","updated","status","chart","app_version"
"workflow-builder-fwk-546-db-be","default","1","2024-09-23 09:55:58.981520068 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-fwk-546-fe","default","3","2024-09-23 11:43:48.882866491 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"workflow-builder-fwk-546-rabbitmq","default","4","2024-09-23 11:42:15.540476299 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-fwk-546-redis","default","4","2024-09-23 11:42:08.105227619 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"workflow-builder-fwk-548","default","2","2024-09-23 13:42:59.035164113 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-fwk-548-audit","default","2","2024-09-23 13:42:27.966278775 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-fwk-548-be","default","2","2024-09-23 13:44:41.511498488 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"workflow-builder-fwk-548-db-be","default","1","2024-09-23 10:37:43.501730509 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-fwk-548-fe","default","2","2024-09-23 13:46:32.044300531 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"workflow-builder-fwk-548-rabbitmq","default","2","2024-09-23 13:42:22.735910153 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-fwk-548-redis","default","2","2024-09-23 13:42:15.557463646 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"workflow-builder-k9rao4-db-be","default","1","2024-06-10 09:27:19.973629906 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-rfyap8","default","4","2024-09-16 10:59:55.57393681 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-rfyap8-audit","default","4","2024-09-16 10:59:25.717848306 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-rfyap8-be","default","4","2024-09-16 11:00:10.666439591 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"workflow-builder-rfyap8-db-be","default","1","2024-09-06 08:10:49.296804576 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-rfyap8-fe","default","4","2024-09-16 11:01:49.003028428 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"workflow-builder-rfyap8-rabbitmq","default","4","2024-09-16 10:59:20.917281893 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-rfyap8-redis","default","4","2024-09-16 10:59:13.548307038 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"workflow-builder-venmdf-db-be","default","1","2024-09-18 08:25:00.867763334 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
